"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW44,SW56,SW40,SW63,SW11,SW85,SW34,SW8,SW31,SW68,SW46,SW62,SW49,SW45,SW88,SW20,SW54,SW66,SW61,SW78,SW9,SW73,SW64,SW87,SW82,SW15,SW84,SW27,SW67,SW79,SW16,SW58,SW83,SW19,SW23,SW33,SW2,SW7,SW38,SW52,SW53,SW32,SW1,SW60,SW10,SW57,SW41,SW74,SW22,SW55,SW43,SW72,SW14,SW29,SW86,SW21,SW51,SW37,SW47,SW25,SW70,SW26,SW50,SW59,SW89,SW75,SW13,SW28,SW17,SW65,SW69,SW77,SW35,SW39";"SW_Cherry_MX_1.00u_PCB";74;"SW_Push";;;
2;"D148,D144,D141,D157,D153,D117,D125,D96,D110,D165,D104,D93,D169,D130,D174,D179,D167,D90,D120,D121,D101,D119,D170,D151,D94,D164,D176,D163,D132,D118,D159,D116,D175,D137,D172,D97,D99,D109,D140,D103,D160,D154,D171,D168,D138,D155,D105,D112,D127,D135,D131,D133,D126,D95,D156,D177,D92,D123,D161,D152,D100,D124,D98,D147,D102,D129,D146,D139,D113,D115,D108,D145,D106,D149,D162,D143,D142,D128,D107,D166,D178,D111,D173,D122,D136,D134,D150,D158,D114";"MX_SK6812MINI-E_REV";89;"SK6812MINI";;;
3;"SW36,SW24,SW42,SW18,SW48,SW6,SW12";"SW_Cherry_MX_1.25u_PCB";7;"SW_Push";;;
4;"SW30";"SW_Cherry_MX_6.25u_PCB";1;"SW_Push";;;
5;"SW81,SW3";"SW_Cherry_MX_1.50u_PCB";2;"SW_Push";;;
6;"SW80";"SW_Cherry_MX_2.00u_PCB";1;"SW_Push";;;
7;"D87,D50,D36,D43,D86,D51,D70,D21,D35,D79,D27,D88,D24,D71,D66,D64,D60,D42,D73,D29,D39,D54,D67,D38,D47,D2,D65,D48,D76,D82,D14,D8,D33,D68,D22,D55,D58,D56,D89,D80,D37,D9,D30,D7,D11,D81,D31,D13,D25,D1,D28,D57,D19,D6,D18,D41,D52,D17,D63,D5,D59,D78,D85,D20,D3,D23,D44,D4,D77,D49,D69,D53,D45,D12,D32,D46,D74,D84,D10,D40,D26,D16,D34,D61,D62,D15,D83,D72,D75";"D_DO-35_SOD27_P7.62mm_Horizontal";89;"1N4148";;;
8;"SW5,SW76";"SW_Cherry_MX_2.25u_PCB";2;"SW_Push";;;
9;"SW71";"SW_Cherry_MX_2.75u_PCB";1;"SW_Push";;;
10;"SW4";"SW_Cherry_MX_1.75u_PCB";1;"SW_Push";;;
11;"D91";"LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm";1;"SK6812MINI";;;
12;"C59,C42,C19,C56,C7,C36,C49,C50,C83,C64,C27,C61,C2,C87,C32,C18,C21,C28,C23,C78,C1,C68,C84,C44,C85,C55,C89,C81,C10,C45,C31,C43,C88,C47,C86,C66,C39,C3,C54,C35,C37,C62,C9,C38,C41,C75,C5,C79,C12,C82,C24,C11,C52,C25,C17,C65,C48,C33,C51,C63,C60,C26,C13,C20,C4,C67,C14,C53,C70,C29,C71,C72,C22,C46,C58,C40,C8,C69,C34,C6,C77,C16,C74,C76,C15,C80,C30,C73,C57";"C_0805_2012Metric";89;"0.1uF";;;
13;"R1";"R_0805_2012Metric";1;"330 OHMS";;;
14;"U1";"RaspberryPi_Pico_Common_THT_BACKSIDE";1;"Pico";;;
